survey_set_name,survey_series_id,self_survey_set_name,self_survey_series_id,characteristic_name,response_set,other_phrased,self_phrased
"Ripple 50, Group A",1,"Ripple 50, All",2,curious,1,#{receiver.first_name} listens to my perspectives,I listen to my colleagues' perspectives
"Ripple 50, Group A",1,"Ripple 50, All",2,conscientious,1,#{receiver.first_name} follows through on commitments,I follow through on commitments
"Ripple 50, Group A",1,"Ripple 50, All",2,committed,1,#{receiver.first_name} solicits my input/feedback,I solicit input/feedback from my colleagues
"Ripple 50, Group A",1,"Ripple 50, All",2,cooperative,1,#{receiver.first_name} is empathetic,I am empathetic
"Ripple 50, Group A",1,"Ripple 50, All",2,consistent,1,#{receiver.first_name} appropriately expresses his/her emotions in the workplace,I appropriately express my emotions in the workplace
"Ripple 50, Group B",1,"Ripple 50, All",2,curious,1,#{receiver.first_name} is open to new approaches to solving problems,I am open to new approaches to solving problems
"Ripple 50, Group B",1,"Ripple 50, All",2,conscientious,1,#{receiver.first_name} is effective at focusing attention on important issues,I am effective at focusing attention on important issues
"Ripple 50, Group B",1,"Ripple 50, All",2,committed,1,#{receiver.first_name} actively listens to my feedback to ensure he/she understands me,I actively listen to my colleagues' feedback to ensure I understand
"Ripple 50, Group B",1,"Ripple 50, All",2,cooperative,1,#{receiver.first_name} is effective working in a team environment when necessary,I am effective working in a team environment when necessary
"Ripple 50, Group B",1,"Ripple 50, All",2,consistent,1,#{receiver.first_name} thinks before responding,I think before responding
"Ripple 50, Group C",1,"Ripple 50, All",2,curious,1,#{receiver.first_name} is willing to question the way things get done to be more productive,I am willing to question the way things get done to be more productive
"Ripple 50, Group C",1,"Ripple 50, All",2,conscientious,1,#{receiver.first_name} demonstrates integrity,I demonstrate integrity
"Ripple 50, Group C",1,"Ripple 50, All",2,committed,1,#{receiver.first_name} encourages all forms of contributions when solving an issue,I encourage all forms of contributions when solving an issue
"Ripple 50, Group C",1,"Ripple 50, All",2,cooperative,1,#{receiver.first_name} works effectively with a diverse set of employees,I work effectively with a diverse set of employees
"Ripple 50, Group C",1,"Ripple 50, All",2,consistent,1,#{receiver.first_name} is encouraging,I am encouraging
"Ripple 50, Group D",1,"Ripple 50, All",2,curious,1,#{receiver.first_name} is willing to experiment and take calculated risks,I am willing to experiment and take calculated risks
"Ripple 50, Group D",1,"Ripple 50, All",2,conscientious,1,#{receiver.first_name} stays focused on the topic at hand,I stay focused on the topic at hand
"Ripple 50, Group D",1,"Ripple 50, All",2,committed,1,#{receiver.first_name} has the courage to initiate difficult conversations,I have the courage to initiate difficult conversations
"Ripple 50, Group D",1,"Ripple 50, All",2,cooperative,1,#{receiver.first_name} looks beyond his/her own agenda to arrive at solutions,I look beyond my own agenda to arrive at solutions
"Ripple 50, Group D",1,"Ripple 50, All",2,consistent,1,#{receiver.first_name} remains calm in difficult situations,I remain calm in difficult situations
"Ripple 50, Group E",1,"Ripple 50, All",2,curious,1,#{receiver.first_name} seeks new opportunities to improve our business,I seek new opportunities to improve our business
"Ripple 50, Group E",1,"Ripple 50, All",2,conscientious,1,#{receiver.first_name} sets high personal standards,I set high personal standards
"Ripple 50, Group E",1,"Ripple 50, All",2,committed,1,#{receiver.first_name} asks good questions,I ask good questions
"Ripple 50, Group E",1,"Ripple 50, All",2,cooperative,1,#{receiver.first_name} is able to compromise to arrive at solutions,I am able to compromise to arrive at solutions
"Ripple 50, Group E",1,"Ripple 50, All",2,consistent,1,#{receiver.first_name} delivers on promises,I deliver on promises
"Ripple 50, Group F",1,"Ripple 50, All",2,curious,1,#{receiver.first_name} thinks about the future and its implications,I think about the future and its implications
